label,index,OBJECTID,YearBuilt1,HEIGHT,UseDescription,orientation,street_width,second_type,idx,building_reference
commercial_4,36058,36058,1970,3,Commercial,215.0,12.029999999999989,Commerce,36058,9634505DG1093D
commercial_3,23995,23995,1956,3,Commercial,260.0,6.269999999999989,Commerce,23995,8215001DG1081B
commercial_3,19478,19478,1950,3,Commercial,255.00000000000003,5.259999999999999,Commerce,19478,7722532DG1072B
commercial_3,28230,28230,1957,3,Commercial,79.99999999999999,9.839999999999991,Commerce,28230,8632712DG1083D
commercial_3,16845,16845,1900,3,Commercial,64.99999999999997,3.3499999999999974,Commerce,16845,7518012DG1071B
commercial_0,37056,37056,1953,3,Commercial,9.999999999999986,11.959999999999994,Commerce,37056,9827204DG1092D
commercial_5,19429,19429,1900,3,Commercial,335.0,32.37,Commerce,19429,7721302DG1072B
commercial_4,23556,23556,1997,3,Commercial,174.99999999999997,11.819999999999988,Commerce,23556,8133850DG1083D
commercial_3,16717,16717,1979,3,Commercial,75.0,8.089999999999987,Commerce,16717,7513305DG1071B
commercial_3,21981,21981,1955,3,Commercial,154.99999999999997,0.0,Commerce,21981,8014129DG1081B
commercial_0,16814,16814,2004,3,Commercial,270.0,7.829999999999999,Commerce,16814,7516757DG1071B
commercial_0,18502,18502,1940,3,Commercial,90.0,11.599999999999998,Commerce,18502,7632337DG1073D
commercial_3,14684,14684,1955,3,Commercial,54.999999999999986,20.36,Commerce,14684,7232718DG1073D
commercial_3,34029,34029,1973,3,Commercial,255.00000000000003,11.839999999999995,Retail commerce,34029,9321040DG1092B
commercial_3,20438,20438,2002,3,Commercial,104.99999999999997,9.519999999999994,Commerce,20438,7826522DG1072D
commercial_4,35254,35254,1970,3,Commercial,45.0,12.099999999999998,Commerce,35254,9432003DG1093D
commercial_0,28077,28077,1960,3,Commercial,349.99999999999994,13.659999999999993,Commerce,28077,8630703DG1083D
commercial_6,8535,8535,1939,3,Commercial,49.99999999999999,9.639999999999993,Commerce,8535,6723218DG1062B
commercial_4,16820,16820,1967,3,Commercial,174.99999999999997,5.769999999999988,Financial commerce,16820,7517503DG1071B
